% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 14 2018, 13:46"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp4"
10,1.0001126855240418E7,716.96732662784,683.3484276510458,761.2890389087128,707.4981490028886,736.399316844659,735.7697747487839,735.1575520155869,734.0372746645061,719.4227859257362,718.793243691847,718.1810208244341,717.0607432278067,702.9131985489348,702.2836561797624,701.6714331807887,700.5511553435554,698.3340909655184
11,1.516385354949797E8,757.9209618283345,683.4758313826853,852.2825912998609,707.5041637526167,801.7283856722023,792.4224172618691,783.3625642298745,766.7666005664568,782.2018297316018,772.8777567835547,763.8002548256276,747.1719197901241,750.2706073365143,740.8664990652862,731.7110698553413,714.9399526860816,704.8526459638099
12,1.9784066459026673E8,817.7840447334662,684.3999099957265,980.8924820439612,707.6275101371311,892.5386146832954,880.2917570400219,868.382369117675,846.5909306662669,858.2721930847828,845.9735823084617,834.013837564603,812.1302042644894,787.9463355702686,775.5569917426573,763.5090496883253,741.4641009594773,724.5226148447422
13,1.8013325436095265E8,862.5154474903437,686.5260976126324,1080.0938629733623,708.8213408172435,962.6294255223921,951.4541398691605,940.5877650693864,920.7065364051547,904.9346003201093,893.6995244441799,882.7750040196134,862.7873769538227,806.0762139762854,794.7825568661871,783.8011008488046,763.7093516344354,744.7572214449358
14,1.625493505820234E8,895.9337400587011,689.5384304006675,1156.5486251940583,711.8268019143901,1016.6734911830043,1006.5713974435654,996.7484006513702,978.7758795990843,936.2969202802523,926.1409691596092,916.2656061993931,898.1972799476633,819.6221107453279,809.4278111272844,799.5151749069565,781.3786806216723,761.5248988979382
15,1.4900722093126228E8,923.0721200958068,693.0410038897636,1219.0884074219503,716.6077070757424,1060.8946155535295,1051.6182609928155,1042.59794985282,1026.0936209600632,960.7436548915476,951.4225633175694,942.3587580810328,925.7748632539582,831.359467569852,822.0127427505,812.9240205993505,796.2945515530299,775.8424918694128
16,1.3844507840113702E8,944.6225125564346,696.9360068846889,1268.4549489098663,722.5698004584775,1095.8127293204352,1087.179181279469,1078.7838293403447,1063.4227909236051,979.5846920855614,970.9158710910341,962.4862279632536,947.0624620933555,841.3327097372481,832.646304240303,824.1995676845901,808.7445384773608,787.9217589970859
17,1.2975344712084419E8,961.619856908164,701.087152440966,1306.6805585916081,729.2541949323617,1122.8592947093266,1114.7549080780723,1106.874058083109,1092.4542996898376,994.0944799149166,985.9633429111735,978.0564880483679,963.5891618379227,849.7445198114573,841.6014468834381,833.6829900747192,819.1944429534805,798.1887068103039
18,1.2241297857669942E8,975.3772016726747,705.3341708404961,1336.7333081356842,737.3367601439242,1144.1264099406262,1136.4696077327835,1129.0239323174942,1115.4003062752504,1005.6983777539862,998.0219625185476,990.5572215116314,976.8987233698866,857.054472030634,849.3705431428799,841.8984993905473,828.2266440526527,807.1569217078455
19,1.1622333053813738E8,986.2363908222172,709.633282446729,1359.4674587164063,745.8866186413462,1160.216479108151,1152.9377764766518,1145.8597198830284,1132.9086405465678,1014.7076880727719,1007.4152276463357,1000.3237980279756,987.3482608917919,863.3645095621265,856.0679029530266,848.9724443621095,835.9895391705587,814.9610939877283
