% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 13 2018, 23:19"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp4"
37,1.0941141371080954E8,1008.2346049677827,808.4728063510235,1193.1738847956099,1005.7115255766959,1025.7808836311515,1025.656104361758,1025.5347579252675,1024.5831320102402,1011.4772105036899,1011.3524359118124,1011.2310940241272,1010.2795037580412,997.5813801585849,997.4566099874402,997.335272398834,996.3837157463253,972.3977641639034
38,1.0854025748082767E8,1008.722967134537,809.3646030320095,1196.6123931319312,1013.188228865915,1026.1558070239598,1026.0320189109516,1025.911636358841,1024.9675694106863,1011.945490729391,1011.821706396055,1011.7013275196169,1010.7572893961641,998.1376974429694,998.0139166657265,997.8935412475322,996.9495302313609,973.1110414157353
39,1.0783198477441677E8,1009.1188183924932,810.0418818227582,1199.6487951459221,1019.8871463438301,1026.461531758819,1026.338549359196,1026.2189503504865,1025.2810280956328,1012.3255331831714,1012.2025537284024,1012.0829575835127,1011.1450577833349,998.5874549476615,998.4644782458839,998.3448847782307,997.4070058759993,973.6846534120738
40,1.0727605489570297E8,1009.4317788752602,810.5239907773367,1202.2870011081895,1025.7883237702545,1026.7060436090023,1026.5836934928961,1026.4647093692397,1025.5316091532927,1012.6266519014554,1012.5043039598605,1012.3853219508741,1011.4522383185375,998.9412625508104,998.8189166221972,998.6999365707971,997.7668682901832,974.1315695892412
41,1.0686561555371566E8,1009.6695881808006,810.8261977148853,1204.5303696055598,1030.9038592219413,1026.8959351526169,1026.7740517091902,1026.655521416165,1025.725980216208,1012.8563703698843,1012.7344883978463,1012.6159595357163,1011.6864295570516,999.2075576323006,999.0856769987182,998.9671494382088,998.037629667033,974.4618962594874
42,1.0658467058211195E8,1009.8445794339867,810.975017773911,1206.413324306457,1035.324247322435,1027.0410856160897,1026.9195214637593,1026.8013016746881,1025.8741954927614,1013.0265682973487,1012.9050049784718,1012.786785999912,1011.8596861740956,999.4001590959225,999.2785965036518,999.1603782316942,998.2332839471356,974.6929651662987
43,1.0642098413608144E8,1009.9667560711044,810.9908316866207,1207.9641258717406,1039.0693449058135,1027.1496200086785,1027.0282417102408,1026.9102026591918,1025.9845138437558,1013.1469046973558,1013.025526656363,1012.9074878556643,1011.9818010033147,999.5302077293946,999.408829863528,999.2907912331272,998.3651057161959,974.8385959475473
44,1.0636659138673165E8,1010.0440671865161,810.8887887055595,1209.2007550450794,1042.1649826449575,1027.2282432542684,1027.1069264505686,1026.988947199919,1026.0637273330162,1013.2250981537646,1013.1037810930876,1012.9858015925171,1012.0605797656091,999.6064068452735,999.4850894677378,999.3671096590191,998.4418854154579,974.909277194466
45,1.0641037759296317E8,1010.085661620244,810.6874505427037,1210.1517003448562,1047.6349226611223,1027.2844349965108,1027.163067989165,1027.0450399137435,1026.119437134449,1013.2699870301402,1013.148619312252,1013.0305905458257,1012.1049823474528,999.6389139326155,999.5175454649697,999.3995159694049,998.4739020528899,974.9175643737682
46,1.0653937936560416E8,1010.1008453755325,810.40650116211,1210.8526677258883,1052.7802469766439,1027.3255898726957,1027.204075727051,1027.0859045592451,1026.1591796016824,1013.2905246918828,1013.169009440027,1013.0508371964335,1012.1241038022487,999.6381891139155,999.5166727353372,999.3984993960113,998.4717574084158,974.8766463369735
