% Model,OC.mph
% Version,COMSOL 5.3.1.201
% Date,"Feb 14 2018, 17:15"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp1","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp3"
28,3.5673414496877784E8,707.5587644335922,644.4144202247338,1415.2376976056603,933.752808264028,706.3085244910362,711.1233976100067,709.7000112365199,708.3157353810477,706.3079979675524,703.5969199154014
29,3.6353306994431376E8,707.7541165515432,643.4316595058544,1425.3256625036615,935.0023060651648,706.4740284646688,711.3972078909652,709.9422924228,708.527357240264,706.475156798526,703.7086564920922
30,3.703319949198275E8,707.9494686695107,642.4488987870004,1435.4136274016623,936.2518038663014,706.6395324382528,711.671018171939,710.1845736091092,708.7389790995463,706.6423156294861,703.8203930688084
31,3.766765262254393E8,708.1621264826579,641.5388011082608,1445.8003666964755,937.6132006689542,706.8256017861775,711.9543282092428,710.4395155197087,708.9663360145342,706.8296687999236,703.9573085662831
32,3.8193141971447533E8,708.4162834211862,640.8029496869661,1456.903568175895,939.2429317195773,707.0609869829958,712.2604186997897,710.7248178973322,709.2314256554542,707.065448076245,704.1546032153643
33,3.871863132034875E8,708.6704403597348,640.0670982656821,1468.0067696553142,940.8726627702005,707.2963721797918,712.5665091903054,711.0101202749349,709.4965152963613,707.3012273525999,704.3518978644238
34,3.924412066924984E8,708.9245972982942,639.3312468443894,1479.1099711347333,942.5023938208236,707.5317573765783,712.8725996808319,711.2954226525499,709.761604937264,707.537006628918,704.5491925135196
35,3.976097239513438E8,709.1786808657204,638.6073882474302,1490.2078695799255,944.1444633117875,707.7675307044815,713.1773929606875,711.5799192591206,710.0263666921995,707.773151064877,704.7477245130699
36,4.021470395495627E8,709.4322282677832,637.9711682359908,1501.2670156507152,945.8766970067066,708.0061403334619,713.4727067628672,711.8585276252891,710.2887323920634,708.0119639360789,704.9552985568787
37,4.06420877464264E8,709.6855518623793,637.3715305292528,1512.3099856141257,947.6465672559633,708.2459338979288,713.7640636191991,712.1346781082922,710.5500979250135,708.2518906718195,705.1666469520253
38,4.10431237695349E8,709.9386516495211,636.8084751272352,1523.336779470158,949.4540740595565,708.4869113978507,714.0514635296505,712.4083707081408,710.8104632910425,708.4929312721094,705.3817696985732
39,4.1417812024287117E8,710.1915276293013,636.2820020299603,1534.3473972188117,951.2992174174866,708.7290728332628,714.334906494194,712.6796054247675,711.0698284901434,708.7350857368732,705.6006667965225
40,4.1766152510685074E8,710.444179801599,635.7921112373917,1545.3418388600862,953.1819973297537,708.9724182041444,714.6143925128897,712.948382258224,711.3281935222903,708.9783540661982,705.823338245792
41,4.208814522872862E8,710.6966081664671,635.338802749567,1556.320104393982,955.1024137963578,709.2169475104828,714.8899215857099,713.2147012085434,711.5855583875621,709.2227362600127,706.0497840465149
42,4.238379017841324E8,710.9488127239001,634.9220765664819,1567.2821938204997,957.0604668172988,709.462660752372,715.1614937126348,713.4785622756648,711.8419230858499,709.4682323183716,706.2800041985867
43,4.265308735974454E8,711.2007934739116,634.5419326881472,1578.2281071396387,959.056156392577,709.709557929655,715.4291088936762,713.7399654595837,712.0972876172516,709.7148422412362,706.5139987020377
44,4.291022692756128E8,711.4719230005745,634.1726146965693,1588.8709637165894,960.97317715714,709.9731226546397,715.7217712797251,714.0240268306806,712.3729858955028,709.9784130531552,706.7612182897386
45,4.314648262941777E8,711.7502881104816,633.8299615313671,1599.3871811359772,962.8830512323578,710.2438332617143,716.0216447340202,714.3153012318353,712.6558986051697,710.249199607621,707.0158512224249
