% Model,oc.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:57"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31"
12,2.436611166556498E8,744.6690943430914,661.7227967642132,888.9788079802132,796.9788701221008,715.3864910201818,745.6318882196985,744.6601855411226,743.7152092684612,715.3806165218649,713.514403963289
13,2.457490054770058E8,744.4850036384481,660.9763578163,889.709420140016,797.1137684761248,714.9552468801925,745.4559606354122,744.4760197551587,743.5230305246822,714.948134046343,713.0627726607123
14,2.5029468656316715E8,744.1794633206551,659.4732884137314,891.3736570814066,797.464569825407,714.1077929821868,745.1682977676102,744.1703149477584,743.199777246612,714.0986180228856,712.1731427167349
15,2.548403676493269E8,743.8739230028947,657.9702190111674,893.0378940227969,797.8153711746892,713.2603390841838,744.8806348998244,743.8646101403117,742.8765239685425,713.2491019994744,711.2835127728098
16,2.59386048735464E8,743.5683826851392,656.4671496086086,894.7021309641874,798.1661725239713,712.4128851861456,744.5929720320341,743.5589053328936,742.553270690474,712.3995859760365,710.3938828288575
17,2.6393172982162136E8,743.2628423673738,654.9640802060101,896.3663679055777,798.5169738732535,711.5654312881195,744.305309164286,743.253200525502,742.2300174124074,711.5500699526604,709.5042528849385
18,2.6855606188341534E8,742.9565347261748,653.4562318562497,898.0499189434669,798.8737632625754,710.7139219476883,744.0169858126234,742.9467273855468,741.9058909804173,710.6965395558894,708.6105186278066
19,2.754888357502627E8,742.6277057939964,651.8081192388254,900.3003474729195,799.406304342756,709.7433835317281,743.709276959806,742.6177033376376,741.5561370844337,709.7251854813549,707.596320917131
20,2.824216096171054E8,742.298876861761,650.1600066214245,902.5507760023723,799.9388454229367,708.7728451157639,743.4015681069927,742.2886792897402,741.2063831885625,708.7538314068001,706.5821232064759
21,2.8935438348397875E8,741.9700479295454,648.5118940040052,904.801204531825,800.4713865031173,707.8023066998283,743.0938592542054,741.9596552418298,740.8566292926234,707.7824773322864,705.5679254958404
22,2.962871573508197E8,741.6412189973132,646.8637813866048,907.0516330612778,801.0039275832977,706.8317682838837,742.7861504013989,741.6306311939062,740.5068753966949,706.8111232577205,704.5537277851854
23,3.0238893899642295E8,741.9087373439613,645.5305382395925,910.2609918803863,801.9864499978188,706.2317267920855,743.0821189005817,741.8978870179524,740.7462061133549,706.2130712567189,703.9065943589598
24,3.083897617182837E8,742.2487071262813,644.2355492206983,913.6039258329878,803.0236415537385,705.676697720087,743.4514293808797,742.2375860883018,741.0571059097146,705.6603724787667,703.304056314258
25,3.143905844401385E8,742.5886769086306,642.940560201767,917.0469272019023,804.0608331096581,705.1216686480744,743.8207398611138,742.5772851586299,741.368005706075,705.1076737008112,702.7015182695343
26,3.203914071619515E8,742.9286466909532,641.6455711828507,920.4899285708169,805.0980246655778,704.5666395760652,744.1900503414201,742.9169842289887,741.6789055024823,704.5549749229268,702.0989802248239
27,3.259481610466684E8,743.2762751544151,640.4837713391257,923.9321526935884,806.3493795695316,704.1667859416684,744.5622086346448,743.2643854472475,742.0022313813741,704.1564385611891,701.6569905831451
28,3.3135719983550763E8,743.626451202249,639.3662755539683,927.3741182731366,807.6719737878569,703.8185498781169,744.9353142246425,743.6143487086671,742.329690673465,703.8091827987345,701.2684057759253
29,3.3676623862434363E8,743.9766272500907,638.2487797688428,930.8160838526848,808.9945680061822,703.4703138145264,745.3084198146231,743.9643119700813,742.6571499655538,703.4619270363185,700.8798209687387
30,3.4217527741320467E8,744.3268032979255,637.131283983721,934.258049432233,810.3171622245076,703.1220777509781,745.6815254046361,744.3142752315116,742.9846092576087,703.1146712738789,700.4912361615299
