% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Jan 30 2017, 18:25
% Dimension:          2
% Nodes:              4862
% Expressions:        16
% Description:        power density, Dependent variable Tp4, Dependent variable Flux1, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Tp4 (K)                  Flux1 (1/(m^2*s))        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.25                      0.03                     0                        NaN                      5.072022971775512E-6     1.7216301567709702E-4    0.0026684446455011125    0.0019059407980077006    0.007131521717674614     0.04465064611696047      0.06419459510124037      0.018599200450984326     -7.909278085105704E-8    -1.6192836501987946E-7   -4.534459106053485E-8    -4.46617658375144E-8     -3.072240195025927E-9    -1.6873975428238843E-10
0.27                      0.03                     0                        NaN                      4.848336717365303E-6     1.6182180694573363E-4    0.002465328597507676     0.0017721609448249026    0.007036410335840716     0.04444345624698746      0.06396115936123323      0.018537445839583746     -9.543334037819625E-8    -1.9538274681386976E-7   -5.4712778415759846E-8   -5.388888157933376E-8    -3.706964669855415E-9    -2.036013683232274E-10
0.29000000000000004       0.03                     0                        NaN                      4.601018190346267E-6     1.5114240785765813E-4    0.002266248718989721     0.0016410700553871516    0.006938398491136057     0.04421364315839693      0.06368315166225798      0.018462541775471852     -1.4467245696657227E-7   -2.9619105774168564E-7   -8.294199961467624E-8    -8.169301074830747E-8    -5.6195841469129725E-9   -3.0865010153000035E-10
0.31                      0.03                     0                        NaN                      4.356248562877329E-6     1.4152269503686128E-4    0.0020996990994250108    0.0015273806589338967    0.006838070976991342     0.043854897757081415     0.06321099351490139      0.018330608649575864     -1.4000080275957807E-7   -2.8662667879917054E-7   -8.026369892385476E-8    -7.905504146689456E-8    -5.4381207607789435E-9   -2.986834045129242E-10
0.33                      0.03                     0                        NaN                      4.1063397390642545E-6    1.3248160334398702E-4    0.0019545230212741752    0.001426207514674416     0.006729370753152098     0.0433800908377831       0.06256469275855557      0.018147290107536913     -1.281768633199006E-7    -2.624192712335349E-7    -7.348492982700945E-8    -7.237835101740497E-8    -4.97883760472787E-9     -2.734577313954472E-10
0.35000000000000003       0.03                     0                        NaN                      3.850186028645924E-6     1.2329444386337854E-4    0.0018083517235129463    0.0013250633830185045    0.006617283948993432     0.042894089906657794     0.06190047887520364      0.017958596136607222     -1.3594910388072482E-7   -2.783315478409977E-7    -7.79408241079091E-8     -7.676714585083031E-8    -5.280738607568332E-9    -2.90039345397954E-10
0.37                      0.03                     0                        NaN                      3.5940323182275918E-6    1.1410728438276995E-4    0.001662180425751716     0.0012239192513625922    0.006505197144834765     0.04240808897553246      0.06123626499185171      0.017769902165677524     -1.4372134444154903E-7   -2.942438244484605E-7    -8.239671838880877E-8    -8.115594068425566E-8    -5.582639610408793E-9    -3.0662095940046084E-10
0.39                      0.03                     0                        NaN                      3.3378786078092598E-6    1.0492012490216147E-4    0.0015160091279904867    0.0011227751197066807    0.006393110340676097     0.04192208804440714      0.060572051108499766     0.01758120819474783      -1.5149358500237322E-7   -3.1015610105592324E-7   -8.685261266970843E-8    -8.554473551768099E-8    -5.884540613249253E-9    -3.2320257340296764E-10
0.41000000000000003       0.03                     0                        NaN                      3.0817248973909274E-6    9.573296542155285E-5     0.0013698378302292565    0.0010216309880507683    0.00628102353651743      0.04143608711328182      0.059907837225147836     0.017392514223818135     -1.5926582556319747E-7   -3.2606837766338614E-7   -9.130850695060812E-8    -8.993353035110636E-8    -6.186441616089718E-9    -3.397841874054746E-10
0.43                      0.03                     0                        NaN                      2.872880391694749E-6     8.835361455518548E-5     0.0012523231968324434    9.38155942649422E-4      0.006171488058338065     0.040902885755211914     0.05916793120040842      0.0171810797174541       -1.458991253914602E-7    -2.9870244260293696E-7   -8.364525947600494E-8    -8.238568051365291E-8    -5.667232238184497E-9    -3.112671258193771E-10
