% Model,OC_transient.mph
% Version,COMSOL 5.3.1.180
% Date,"Jan 29 2018, 15:09"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp"
152.6,4.172780920477237E7,679.8827383534694,630.6705500725324,744.1472668941072,714.670363536833
152.70000000000002,4.173165675314857E7,679.8916471601003,630.6745317963197,744.1650349652497,714.6948733212355
152.8,4.173550805036833E7,679.9005160874185,630.678486119966,744.1826572194321,714.719184139659
152.9,4.173936309643141E7,679.9093451354254,630.68241304347,744.2001336566547,714.7432959921034
153,4.174322189133808E7,679.9181343041179,630.6863125668297,744.2174642769171,714.7672088785688
153.1,4.174708443508813E7,679.9268835934985,630.690184690049,744.2346490802197,714.7909227990549
153.20000000000002,4.17509507276817E7,679.9355930035664,630.6940294131246,744.251688066562,714.8144377535621
153.3,4.175482076911869E7,679.9442625343215,630.6978467360583,744.2685812359443,714.8377537420901
153.4,4.175869455939911E7,679.9528921857637,630.70163665885,744.2853285883666,714.8608707646389
153.5,4.176257209852308E7,679.9614819578932,630.7053991814983,744.3019301238292,714.8837888212088
153.60000000000002,4.176645338649042E7,679.9700318507101,630.7091343040046,744.3183858423314,714.9065079117993
153.70000000000002,4.1770338423301235E7,679.978541864214,630.7128420263693,744.3346957438737,714.9290280364111
153.8,4.177422720895554E7,679.9870119984056,630.7165223485906,744.3508598284559,714.9513491950435
153.9,4.177778101792261E7,679.9964853454098,630.7210838500054,744.3706342852015,714.9777686995652
154,4.1781143202226356E7,680.0065204582322,630.7261420107731,744.3924294573994,715.0064678847211
154.10000000000002,4.1784503319270335E7,680.016533602208,630.7311883722048,744.4141433084669,715.0350418911022
154.20000000000002,4.178786136905427E7,680.0265247773341,630.7362229343001,744.4357758384039,715.0634907187083
154.3,4.179121735157843E7,680.0364939836134,630.7412456970591,744.4573270472106,715.0918143675398
154.4,4.1794571266842656E7,680.0464412210434,630.7462566604813,744.478796934887,715.1200128375963
154.5,4.1797923114846975E7,680.0563664896251,630.7512558245679,744.5001855014331,715.1480861288782
154.60000000000002,4.180127289559142E7,680.0662697893582,630.7562431893177,744.5214927468485,715.1760342413852
154.70000000000002,4.1804620609076045E7,680.0761511202448,630.7612187547307,744.5427186711337,715.2038571751174
154.8,4.1807966255300656E7,680.0860104822822,630.7661825208088,744.5638632742886,715.2315549300746
154.9,4.181130983426547E7,680.0958478754715,630.771134487549,744.584926556313,715.2591275062572
155,4.181465134597041E7,680.1056632998127,630.7760746549534,744.6059085172071,715.2865749036649
155.10000000000002,4.1817990790415496E7,680.1154567553054,630.7810030230208,744.6268091569708,715.3138971222979
155.20000000000002,4.1821328167600565E7,680.1252282419499,630.7859195917534,744.6476284756042,715.3410941621562
155.3,4.182466347752586E7,680.1349777597466,630.7908243611485,744.6683664731073,715.3681660232394
155.4,4.182799672019129E7,680.1447053086958,630.7957173312071,744.6890231494798,715.3951127055478
155.5,4.183132789559671E7,680.1544108887957,630.8005985019297,744.7095985047221,715.4219342090818
155.60000000000002,4.183465700374231E7,680.1640945000473,630.8054678733163,744.7300925388339,715.4486305338406
155.70000000000002,4.183798404462797E7,680.1737561424505,630.8103254453663,744.7505052518154,715.4752016798247
155.8,4.184130901825378E7,680.1833958160074,630.81517121808,744.7708366436665,715.5016476470339
155.9,4.184463192461977E7,680.1930135207143,630.8200051914569,744.7910867143872,715.5279684354686
156,4.184795276372574E7,680.2026092565733,630.824827365498,744.8112554639775,715.5541640451282
156.10000000000002,4.1851271535571985E7,680.2121830235845,630.8296377402022,744.8313428924376,715.5802344760132
156.20000000000002,4.185458824015829E7,680.2217348217473,630.83443631557,744.8513489997673,715.6061797281232
156.3,4.185790287748459E7,680.2312646510626,630.8392230916023,744.8712737859665,715.6319998014585
156.4,4.186121544755117E7,680.2407725115291,630.8439980682979,744.8911172510354,715.6576946960189
156.5,4.186452595035779E7,680.2502584031474,630.8487612456559,744.9108793949739,715.6832644118045
156.60000000000002,4.1867834385904565E7,680.2597223259176,630.8535126236795,744.9305602177822,715.7087089488155
156.70000000000002,4.187114075419135E7,680.2691642798396,630.8582522023661,744.9501597194597,715.7340283070515
156.8,4.1874445055218324E7,680.2785842649139,630.8629799817153,744.9696779000071,715.7592224865127
156.9,4.187774728898539E7,680.2879822811385,630.8676959617292,744.9891147594243,715.7842914871991
157,4.188104745549263E7,680.2973583285162,630.8724001424061,745.0084702977109,715.8092353091108
157.10000000000002,4.188434555473992E7,680.3067124070448,630.8770925237465,745.0277445148671,715.8340539522475
157.20000000000002,4.188764158672732E7,680.3160445167265,630.8817731057508,745.0469374108931,715.8587474166096
157.3,4.1890935551454835E7,680.3253546575595,630.8864418884195,745.0660489857885,715.8833157021969
157.4,4.1894227448922485E7,680.3346428295441,630.8910988717512,745.0850792395537,715.9077588090092
157.5,4.189751727913026E7,680.3439090326802,630.8957440557473,745.1040281721885,715.9320767370467
157.60000000000002,4.190080504207811E7,680.3531532669691,630.9003774404063,745.1228957836929,715.9562694863096
157.70000000000002,4.190409073776607E7,680.362375532409,630.9049990257286,745.1416820740669,715.9803370567976
157.8,4.190737436619414E7,680.371575829001,630.9096088117144,745.1603870433105,716.0042794485107
157.9,4.1910655927362435E7,680.3807541567445,630.9142067983645,745.1790106914237,716.0280966614492
158,4.191393542127074E7,680.3899105156395,630.918792985678,745.1975530184068,716.0517886956127
158.10000000000002,4.1917212847919144E7,680.3990449056864,630.9233673736553,745.2160140242593,716.0753555510014
158.20000000000002,4.1920488207307726E7,680.4081573268862,630.9279299622966,745.2343937089815,716.0987972276154
158.3,4.192376149943639E7,680.4172477792367,630.9324807516005,745.2526920725733,716.1221137254545
158.4,4.192703272430517E7,680.4263162627404,630.9370197415693,745.2709091150347,716.1453050445189
158.5,4.193030188191407E7,680.4353627773955,630.9415469322006,745.2890448363659,716.1683711848083
158.60000000000002,4.193356897226304E7,680.4443873232017,630.9460623234959,745.3070992365664,716.191312146323
158.70000000000002,4.1936833995352186E7,680.4533899001592,630.9505659154555,745.3250723156366,716.214127929063
158.8,4.194009695118138E7,680.4623705082695,630.9550577080786,745.3429640735767,716.2368185330282
158.9,4.194335783975072E7,680.4713291475317,630.9595377013638,745.3607745103861,716.2593839582185
159,4.194661666106022E7,680.4802658179444,630.9640058953145,745.3785036260654,716.281824204634
159.10000000000002,4.194987341510982E7,680.4891805195095,630.9684622899277,745.3961514206142,716.3041392722745
159.20000000000002,4.195312810189948E7,680.4980732522271,630.9729068852056,745.4137178940326,716.3263291611405
159.3,4.195638072142926E7,680.5069440160962,630.9773396811461,745.4312030463207,716.3483938712315
159.4,4.195963127369915E7,680.5157928111178,630.9817606777509,745.4486068774784,716.3703334025479
159.5,4.196287975870922E7,680.5246196372913,630.9861698750195,745.4659293875056,716.3921477550894
159.60000000000002,4.1966126176459335E7,680.5334244946149,630.9905672729506,745.4831705764026,716.4138369288559
159.70000000000002,4.196937052694963E7,680.5422073830912,630.9949528715462,745.5003304441691,716.4354009238477
159.8,4.197261281017996E7,680.5509683027202,630.9993266708052,745.5174089908055,716.4568397400648
159.9,4.1975853026150525E7,680.5597072534997,631.0036886707287,745.5344062163113,716.478153377507
160,4.197909117486112E7,680.5684242354316,631.008038871315,745.5513221206867,716.4993418361745
160.10000000000002,4.198232725631182E7,680.5771192485147,631.0123772725651,745.5681567039318,716.5204051160672
160.20000000000002,4.1985561270502634E7,680.5857922927503,631.0167038744784,745.5849099660464,716.5413432171849
160.3,4.1988793217433535E7,680.5944433681373,631.0210186770563,745.6015819070308,716.5621561395278
160.4,4.199202309710458E7,680.6030724746769,631.0253216802976,745.6181725268848,716.5828438830962
160.5,4.1995250909515776E7,680.6116796123678,631.0296128842014,745.6346818256084,716.6034064478896
160.60000000000002,4.1998476654667005E7,680.62026478121,631.03389228877,745.6511098032015,716.6238438339082
160.70000000000002,4.2001700332558446E7,680.6288279812042,631.0381598940012,745.6674564596644,716.6441560411519
160.8,4.200492194318996E7,680.6373692123508,631.0424156998974,745.6837217949968,716.6643430696208
160.9,4.20081414865616E7,680.6458884746489,631.0466597064568,745.6999058091991,716.684404919315
161,4.201135896267331E7,680.654385768099,631.0508919136796,745.7160085022706,716.7043415902344
161.10000000000002,4.201457437152516E7,680.6628610927007,631.055112321566,745.732029874212,716.724153082379
161.20000000000002,4.201778771311719E7,680.6713144484542,631.059320930116,745.747969925023,716.7438393957488
161.3,4.202099898744919E7,680.6797458353591,631.0635177393299,745.7638286547036,716.7634005303437
161.4,4.202420819452138E7,680.6881552534162,631.0677027492064,745.7796060632539,716.7828364861638
161.5,4.2027415334333666E7,680.6965427026265,631.0718759597478,745.7953021506737,716.8021472632091
161.60000000000002,4.203062040688608E7,680.7049081829867,631.0760373709521,745.8109169169632,716.8213328614796
161.70000000000002,4.203382341217861E7,680.7132516944984,631.0801869828213,745.8264503621224,716.8403932809754
161.8,4.203702435021125E7,680.7215732371637,631.0843247953528,745.8419024861511,716.8593285216963
161.9,4.2040223220984034E7,680.7298728109805,631.088450808549,745.8572732890493,716.8781385836423
162,4.204342002449692E7,680.7381504159483,631.0925650224075,745.8725627708174,716.8968234668137
162.10000000000002,4.204661476074991E7,680.7464060520681,631.0966674369296,745.887770931455,716.9153831712102
162.20000000000002,4.204980742974301E7,680.7546397193402,631.1007580521164,745.9028977709622,716.933817696832
162.3,4.205299803147623E7,680.7628514177632,631.1048368679666,745.9179432893392,716.9521270436786
162.4,4.205618656594956E7,680.7710411473383,631.1089038844809,745.9329074865856,716.9703112117508
162.5,4.205937303316294E7,680.7792089080663,631.1129591016577,745.9477903627018,716.988370201048
162.60000000000002,4.206255743311648E7,680.7873546999446,631.1170025194991,745.9625919176875,717.0063040115705
162.70000000000002,4.206573976581018E7,680.7954785229757,631.1210341380038,745.9773121515428,717.0241126433182
162.8,4.206892003124398E7,680.8035803771577,631.1250539571719,745.9919510642679,717.0417960962911
162.9,4.2072098229417846E7,680.8116602624924,631.1290619770044,746.0065086558625,717.059354370489
163,4.2075274360331856E7,680.8197181789781,631.1330581974993,746.0209849263268,717.0767874659122
163.10000000000002,4.2078448423985995E7,680.827754126617,631.1370426186595,746.0353798756607,717.0940953825608
163.20000000000002,4.2081620420380265E7,680.8357681054065,631.1410152404818,746.0496935038642,717.1112781204342
163.3,4.208479034951456E7,680.8437601153485,631.1449760629679,746.0639258109373,717.1283356795332
163.4,4.208795821138902E7,680.8517301564424,631.1489250861183,746.0780767968802,717.1452680598571
163.5,4.209112400600364E7,680.8596782286868,631.1528623099324,746.0921464616926,717.1620752614064
163.60000000000002,4.20942877333583E7,680.8676043320833,631.1567877344097,746.1061348053746,717.1787572841807
163.70000000000002,4.209744939345311E7,680.8755084666332,631.1607013595511,746.1200418279262,717.1953141281804
163.8,4.210060898628803E7,680.8833906323327,631.1646031853561,746.1338675293475,717.2117457934052
163.9,4.2103766511863045E7,680.8912508291861,631.1684932118244,746.1476119096384,717.228052279855
164,4.210692197017815E7,680.8990890571902,631.1723714389568,746.1612749687989,717.2442335875302
164.10000000000002,4.211007536123347E7,680.9069053163464,631.1762378667522,746.1748567068291,717.2602897164306
164.20000000000002,4.211322668502879E7,680.9146996066548,631.1800924952107,746.1883571237289,717.2762206665561
164.3,4.211637594156428E7,680.9224719281146,631.1839353243339,746.2017762194984,717.2920264379069
164.4,4.2119523130839884E7,680.9302222807265,631.1877663541213,746.2151139941374,717.3077070304829
164.5,4.212266825285561E7,680.9379506644893,631.1915855845706,746.2283704476461,717.3232624442838
164.60000000000002,4.212581130761149E7,680.9456570794047,631.1953930156847,746.2415455800244,717.3386926793103
164.70000000000002,4.212895229510734E7,680.9533415254716,631.1991886474616,746.2546393912722,717.3539977355617
164.8,4.21320912153434E7,680.9610040026909,631.2029724799032,746.2676518813898,717.3691776130385
164.9,4.213522806831957E7,680.9686445110608,631.2067445130076,746.2805830503769,717.3842323117404
165,4.2138362854035854E7,680.9762630505842,631.2105047467762,746.2934328982338,717.3991618316675
165.10000000000002,4.214149557249228E7,680.983859621258,631.2142531812086,746.3062014249602,717.4139661728198
165.20000000000002,4.21446262236887E7,680.9914342230845,631.2179898163048,746.3188886305563,717.4286453351973
165.3,4.214775480762538E7,680.9989868560622,631.2217146520636,746.331494515022,717.4431993188
165.4,4.215088132430213E7,681.0065175201908,631.225427688486,746.3440190783573,717.457628123628
165.5,4.215400577371893E7,681.0140262154739,631.2291289255735,746.3564623205623,717.471931749681
165.60000000000002,4.215712815587592E7,681.0215129419058,631.2328183633241,746.3688242416366,717.4861101969591
165.70000000000002,4.216024847077297E7,681.0289776994919,631.2364960017371,746.3811048415811,717.5001634654626
165.8,4.21633667184102E7,681.0364204882297,631.2401618408148,746.3933041203948,717.5140915551913
165.9,4.216648289878759E7,681.0438413081177,631.243815880556,746.4054220780783,717.5278944661452
166,4.216959701190496E7,681.0512401591586,631.2474581209608,746.4174587146314,717.5415721983242
166.10000000000002,4.217270905776246E7,681.05861704135,631.2510885620293,746.429414030054,717.5551247517283
166.20000000000002,4.217581903636013E7,681.0659719546956,631.2547072037614,746.4412880243464,717.5685521263578
166.3,4.21789269476978E7,681.0733048991907,631.2583140461574,746.4530806975083,717.5818543222124
166.4,4.218203279177572E7,681.0806158748394,631.2619090892161,746.4647920495398,717.5950313392923
166.5,4.218513656859365E7,681.0879048816388,631.2654923329385,746.4764220804411,717.6080831775972
166.60000000000002,4.218823827815184E7,681.0951719195905,631.269063777327,746.4879707902119,717.6210098371274
166.70000000000002,4.219133792045002E7,681.102416988693,631.2726234223755,746.4994381788524,717.6338113178828
166.8,4.21944354954883E7,681.1096400889481,631.27617126809,746.5108242463624,717.6464876198634
166.9,4.219753100326685E7,681.1168412203554,631.2797073144687,746.5221289927422,717.6590387430692
167,4.220062444378537E7,681.1240203829144,631.2832315615083,746.5333524179916,717.6714646875001
167.10000000000002,4.220371581704399E7,681.1311775766242,631.2867440092144,746.5444945221105,717.6837654531564
167.20000000000002,4.220680512304279E7,681.1383128014875,631.2902446575829,746.555555305099,717.6959410400376
167.3,4.220989236178168E7,681.1454260575,631.2937335066142,746.5665347669574,717.7079914481441
167.4,4.22129775332607E7,681.1525173446672,631.2972105563103,746.5774329076852,717.7199166774759
167.5,4.221606063747985E7,681.1595866629847,631.30067580667,746.5882497272828,717.7317167280329
167.60000000000002,4.221914167443909E7,681.1666340124552,631.3041292576927,746.5989852257497,717.743391599815
167.70000000000002,4.2222220644138314E7,681.173659393076,631.3075709093798,746.6096394030865,717.7549412928223
167.8,4.222529754657795E7,681.1806628048495,631.3110007617297,746.6202122592929,717.7663658070549
167.9,4.222837238175746E7,681.1876442477741,631.3144188147434,746.6307037943689,717.7776651425124
168,4.223144514967712E7,681.1946037218514,631.3178250684216,746.6411140083145,717.7888392991955
168.10000000000002,4.2234515850336924E7,681.2015412270799,631.3212195227628,746.6514429011298,717.7998882771036
