% Model,OC_transient.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 12 2018, 14:01"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp"
20,9815152.38707462,693.0631334091323,663.203603414865,714.1508710305544,707.5207945537755
21,9843125.106926082,691.9256649844775,661.0805697675975,714.1530443818642,707.5283559060474
22,9871097.826777555,690.788196559825,658.957536120329,714.155217733174,707.5359172583192
23,9899070.546629023,689.6507281351705,656.8345024730603,714.1573910844837,707.543478610591
24,9927043.266480487,688.5132597105178,654.7114688257913,714.1595644357934,707.5510399628628
25,9955015.986331958,687.375791285864,652.5884351785235,714.1617377871032,707.5586013151345
26,1.0013765156935794E7,686.0892773839486,650.5503571240948,714.159310857454,707.5617315820077
27,1.011867900366823E7,684.5791952661382,648.639712458926,714.1499835063663,707.5582152207826
28,1.0223592850400642E7,683.0691131483275,646.7290677937622,714.1406561552787,707.5546988595577
29,1.0328506697133066E7,681.5590310305181,644.8184231285941,714.1313288041911,707.5511824983328
30,1.0433420543865476E7,680.048948912707,642.9077784634279,714.1220014531034,707.5476661371077
31,1.0538334390597908E7,678.5388667948973,640.9971337982611,714.1126741020157,707.5441497758828
32,1.0694147103403434E7,676.9406983226668,639.1899522985159,714.0716205964975,707.5187904728782
33,1.0878590428375097E7,675.2929812760751,637.4409688293212,714.0127211291122,707.4811445151225
34,1.1063033753346743E7,673.6452642294826,635.691985360126,713.9538216617269,707.443498557367
35,1.1247477078318397E7,671.9975471828908,633.9430018909311,713.8949221943416,707.4058525996114
36,1.1436348847736914E7,670.3502772357434,632.2018946833459,713.831164055554,707.3647624954157
37,1.1705758732946144E7,668.711138483924,630.6040294825452,713.6790434579689,707.2610352579977
38,1.1975168618155366E7,667.071999732104,629.0061642817442,713.5269228603836,707.1573080205798
39,1.2244578503364595E7,665.4328609802853,627.4082990809429,713.4518284144567,707.0535807831618
40,1.2513988388573816E7,663.793722228466,625.8104338801397,713.4214020404627,706.949853545744
41,1.2864481261203352E7,662.2517831900537,624.3497766522363,713.3249028343316,706.7562932353516
