% Model,cr.mph,,,,,,,,,,,cr.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Apr 27 2018, 12:09",,,,,,,,,,,"Apr 27 2018, 10:35"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.temp1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (degC)
58,3.13E+08,789.386329,686.2564392,967.0022555,870.9864881,751.8269059,790.6209979,789.3749019,788.1630873,751.8277205,749.4578695,743.1144516
59,3.13E+08,789.4111064,686.2984068,967.3452956,871.2934663,751.85195,790.6457683,789.3996793,788.1878715,751.8527111,749.4827253,743.3561012
60,3.13E+08,789.4358837,686.3403743,967.6883357,871.6004445,751.8769941,790.6705386,789.4244568,788.2126558,751.8777017,749.5075811,743.5977519
61,3.13E+08,789.4606611,686.3823418,968.0313758,871.9074227,751.9020381,790.695309,789.4492342,788.2374401,751.9026924,749.5324368,743.8394037
62,3.13E+08,789.4854384,686.4243093,968.3744158,872.2144009,751.9270822,790.7200794,789.4740116,788.2622243,751.927683,749.5572926,744.0810567
63,3.14E+08,789.5102158,686.4662768,968.7174559,872.5213791,751.9521263,790.7448498,789.498789,788.2870086,751.9526736,749.5821483,744.3227109
64,3.14E+08,789.5437361,686.4869841,968.9683521,872.6801552,751.976401,790.7786745,789.5323065,788.3202273,751.9769317,749.6057753,744.4597983
65,3.14E+08,789.5800672,686.5008563,969.1896249,872.7912858,752.0004284,790.8154102,789.5686338,788.3561576,752.0009542,749.6290072,744.5632747
66,3.14E+08,789.6163983,686.5147286,969.4108977,872.9024164,752.0244557,790.8521458,789.6049612,788.3920878,752.0249768,749.6522391,744.6667584
67,3.14E+08,789.6527293,686.5286008,969.6321706,873.013547,752.0484831,790.8888814,789.6412885,788.4280181,752.0489994,749.675471,744.7702494
68,3.14E+08,789.6890604,686.5424731,969.8534434,873.1246776,752.0725105,790.925617,789.6776159,788.4639484,752.0730219,749.6987029,744.8737477
69,3.14E+08,789.7253915,686.5563453,970.0747162,873.2358082,752.0965379,790.9623526,789.7139432,788.4998786,752.0970445,749.7219349,744.9772533
70,3.14E+08,789.7617226,686.5702175,970.2959891,873.3469387,752.1205652,790.9990882,789.7502706,788.5358089,752.121067,749.7451668,745.0807661
71,3.14E+08,789.7980536,686.5840898,970.5172619,873.4580693,752.1445926,791.0358239,789.7865979,788.5717391,752.1450896,749.7683987,745.1842862
72,3.14E+08,789.8343847,686.597962,970.7385347,873.5691999,752.16862,791.0725595,789.8229253,788.6076694,752.1691121,749.7916306,745.2878135
73,3.14E+08,789.8707158,686.6118343,970.9598076,873.6803305,752.1926474,791.1092951,789.8592526,788.6435997,752.1931347,749.8148625,745.3913482
