% Model,RI_cr.mph
% Version,COMSOL 5.3.1.201
% Date,"Feb 15 2018, 22:26"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp1","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp3"
27,3.457164620417062E8,796.9869415257648,688.6567803395791,2090.3730894456316,852.1155126609548,755.738641328904,798.3424405158743,796.9743951944594,795.6439888669751,755.7528208672719,753.1880510710201
28,3.447158636259748E8,797.596985487315,689.2408133555629,2095.5468931000696,853.7938444955765,756.3460966072493,798.9525813124864,797.5844385031363,796.2539366464267,756.3598829839758,753.7938309858631
29,3.4371526521023536E8,798.2070294489218,689.8248463714993,2100.7206967545067,855.4721763301981,756.9535518855711,799.562722109111,798.1944818117812,796.8638844258857,756.9669451007102,754.399610900712
30,3.4271466679451317E8,798.8170734104941,690.4088793875015,2105.8945004089446,857.1505081648194,757.5610071639,800.1728629057187,798.8045251204393,797.4738322053428,757.5740072174123,755.005390815559
31,3.4171406837877506E8,799.4271173720678,690.9929124034686,2111.0683040633817,858.8288399994409,758.1684624422425,800.7830037023317,799.414568429088,798.0837799848233,758.1810693341318,755.6111707304241
32,3.4071346996305126E8,800.0371613336569,691.5769454194663,2116.2421077178196,860.5071718340627,758.7759177205527,801.3931444989624,800.0246117377518,798.6937277642788,758.7881314508599,756.2169506452477
33,3.405914555434755E8,800.3605605886002,691.9369939809734,2120.006398193857,861.6802477027653,759.1353582080309,801.7153896125716,800.3480216097263,799.0182705435017,759.1466492829762,756.5751112675435
34,3.408156019375734E8,800.5710222469835,692.208792994019,2123.215342532441,862.6542534574752,759.3970812295037,801.9242042467357,800.5584983255077,799.2303641686284,759.4072410292828,756.8357102495278
35,3.4103974833167064E8,800.7814839053598,692.4805920069655,2126.4242868710253,863.6282592121853,759.6588042509217,802.1330188808969,800.7689750413186,799.4424577938263,759.6678327756246,757.0963092315372
36,3.412638947257611E8,800.9919455637404,692.7523910199761,2129.6332312096097,864.6022649668954,759.920527272379,802.3418335150965,800.979451757116,799.6545514189855,759.9284245219234,757.3569082135508
37,3.4148804111981875E8,801.202407222118,693.024190033032,2132.842175548193,865.5762707216053,760.1822502938622,802.5506481492993,801.1899284729135,799.8666450441855,760.1890162682115,757.6175071955421
38,3.41712187513919E8,801.4128688805146,693.2959890459706,2136.0511198867775,866.5502764763154,760.4439733152798,802.75946278345,801.4004051887001,800.0787386693383,760.4496080145685,757.8781061775461
39,3.415791379775737E8,801.6697175749238,693.5469022133561,2139.0754471813007,867.4301479324837,760.6758628074496,803.017140736681,801.6572464441207,800.334765543949,760.6811956310315,758.1072674161004
40,3.4130535376542664E8,801.9448426939115,693.7895863879016,2142.0270356296046,868.2729306122588,760.8959979325758,803.2940707663873,801.9323552605746,800.6081020547903,760.9013556626559,758.3240422295904
41,3.410315695532309E8,802.2199678128974,694.0322705624734,2144.9786240779085,869.1157132920338,761.1161330577467,803.5710007960591,802.2074640770257,800.8814385656293,761.1215156942679,758.5408170430411
42,3.4075778534108484E8,802.495092931881,694.2749547370199,2147.9302125262125,869.9584959718089,761.3362681828679,803.8479308256987,802.4825728934601,801.1547750764759,761.3416757259107,758.7575918565163
