% Model,scaling_cr.mph,,,,,,,,,,,scaling_cr.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Aug 7 2018, 11:36",,,,,,,,,,,"Aug 7 2018, 12:00"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.ins1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (K)
43,3.10E+08,787.0416527,685.7345438,986.516603,898.9905014,749.7881499,788.2661973,787.0303191,785.8284417,749.7910496,747.4464469,1009.638151
44,3.10E+08,787.1587987,685.8364734,987.0994962,899.6567453,749.8924756,788.3837703,787.1474612,785.9451644,749.8951943,747.5492673,1010.02036
45,3.10E+08,787.2759446,685.9384029,987.6823895,900.3229891,749.9968013,788.5013434,787.2646033,786.0618872,749.999339,747.6520876,1010.402462
46,3.10E+08,787.3930906,686.0403325,988.2652827,900.989233,750.101127,788.6189165,787.3817454,786.1786099,750.1034836,747.754908,1010.784455
47,3.10E+08,787.5102366,686.142262,988.8726164,901.6554769,750.2054527,788.7364896,787.4988874,786.2953327,750.2076283,747.8577283,1011.16634
48,3.10E+08,787.6273825,686.2441916,989.6308153,902.3217208,750.3097784,788.8540627,787.6160295,786.4120554,750.3117729,747.9605487,1011.548117
49,3.10E+08,787.6854038,686.3101439,990.2103857,902.7676684,750.3678656,788.9120864,787.6740507,786.4700742,750.3697186,748.018096,1011.791178
50,3.10E+08,787.7162112,686.3595367,990.707737,903.1122182,750.4046702,788.9427008,787.7048599,786.5010729,750.4063999,748.0548052,1011.970423
51,3.10E+08,787.7470186,686.4089295,991.2050884,903.4567681,750.4414748,788.9733152,787.7356691,786.5320715,750.4430812,748.0915144,1012.149666
52,3.10E+08,787.777826,686.4583222,991.7024397,903.8013179,750.4782794,789.0039296,787.7664782,786.5630701,750.4797624,748.1282236,1012.328908
53,3.10E+08,787.8086334,686.507715,992.1997911,904.1458677,750.515084,789.034544,787.7972874,786.5940687,750.5164437,748.1649328,1012.508147
54,3.10E+08,787.8394408,686.5571078,992.6971424,904.4904176,750.5518887,789.0651585,787.8280966,786.6250674,750.553125,748.2016419,1012.687384
55,3.10E+08,787.8702482,686.6065006,993.1944938,904.8349674,750.5886933,789.0957729,787.8589057,786.656066,750.5898063,748.2383511,1012.866619
56,3.10E+08,787.9010556,686.6558934,993.6918451,905.1795172,750.6254979,789.1263873,787.8897149,786.6870646,750.6264875,748.2750603,1013.045852
57,3.10E+08,787.931863,686.7052861,994.1891965,905.5240671,750.6623025,789.1570017,787.9205241,786.7180632,750.6631688,748.3117695,1013.225084
58,3.10E+08,787.9626704,686.7546789,994.6865478,905.8686169,750.6991071,789.1876161,787.9513332,786.7490618,750.6998501,748.3484787,1013.404313
59,3.10E+08,787.9871629,686.7953872,995.1144746,906.150347,750.7260629,789.2120293,787.9758265,786.773633,750.7267561,748.3753991,1013.538392
60,3.10E+08,788.0087489,686.8320982,995.5104467,906.4031625,750.7484855,789.2335883,787.9974127,786.7952457,750.7491628,748.397814,1013.651704
61,3.10E+08,788.0303349,686.8688092,995.9064189,906.6559779,750.7709081,789.2551472,788.0189989,786.8168584,750.7715694,748.4202288,1013.765032
62,3.10E+08,788.0519208,686.9055202,996.302391,906.9087934,750.7933307,789.2767062,788.0405851,786.8384711,750.7939761,748.4426437,1013.878377
63,3.10E+08,788.0735068,686.9422312,996.6983631,907.1616089,750.8157533,789.2982651,788.0621714,786.8600838,750.8163828,748.4650585,1013.991739
64,3.10E+08,788.0950927,686.9789422,997.0943353,907.4144243,750.8381759,789.3198241,788.0837576,786.8816966,750.8387894,748.4874734,1014.105117
65,3.10E+08,788.1166787,687.0156531,997.4903074,907.6672398,750.8605985,789.341383,788.1053438,786.9033093,750.8611961,748.5098883,1014.218513
66,3.10E+08,788.1382646,687.0523641,997.8862796,907.9200553,750.8830211,789.3629419,788.12693,786.924922,750.8836027,748.5323031,1014.331925
67,3.10E+08,788.1598506,687.0890751,998.2822517,908.1728707,750.9054437,789.3845009,788.1485162,786.9465347,750.9060094,748.554718,1014.445353
68,3.10E+08,788.1814366,687.1257861,998.6782238,908.4256862,750.9278663,789.4060598,788.1701024,786.9681474,750.9284161,748.5771328,1014.558798
69,3.10E+08,788.1953887,687.1523426,999.0036949,908.6008713,750.9448328,789.4199137,788.1840554,786.9821968,750.9453575,748.5941932,1014.623902
70,3.10E+08,788.205827,687.1742252,999.2967158,908.7403247,750.9592881,789.430221,788.194495,786.992765,750.9597835,748.608789,1014.666768
71,3.10E+08,788.2162654,687.1961078,999.5897368,908.8797782,750.9737433,789.4405284,788.2049346,787.0033333,750.9742094,748.6233849,1014.709656
72,3.10E+08,788.2267038,687.2179904,999.8827577,909.0192316,750.9881986,789.4508358,788.2153742,787.0139015,750.9886354,748.6379807,1014.752565
