% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Jul 20 2017, 21:42
% Dimension:          2
% Nodes:              4862
% Expressions:        14
% Description:        power density, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.41000000000000003       0.01                     0                        2.2255021365113627E-5    3.3423089295465925E-4    2.7188414559378043E-4    0.00230150736776966      0.015619332302770813     0.022616681521184366     0.006568531497261727     -7.137127941284378E-7    -1.4554674130183177E-6   -4.1093196582969945E-7   -4.0281399986942314E-7   -2.7557207421996542E-8   -1.5233985815700767E-9
0.43                      0.01                     0                        1.7583459421848123E-5    2.656473049194477E-4     2.2544869872014538E-4    0.002255715632338376     0.015440217368199423     0.022375019733011432     0.006500228031934473     -3.942446254899827E-7    -8.039804331193684E-7    -2.2699303415480071E-7   -2.2250872451483613E-7   -1.5222208042445498E-8   -8.414967532870605E-10
0.45                      0.01                     0                        1.2911897478582552E-5    1.9706371688423528E-4    1.7901325184651012E-4    0.0022099238969070915    0.015261102433628026     0.022133357944838505     0.006431924566607218     -7.477645685152587E-8    -1.524934532204167E-7    -4.305410247990135E-8    -4.220344916024816E-8    -2.887208662894395E-9    -1.5959492500404138E-10
0.47000000000000003       0.01                     0                        3.203420069376815E-6     9.139904338181467E-5     1.1758912464479148E-4    0.002108456533121671     0.014995346929832438     0.021723150483793627     0.0063086670284477914    -3.611074058932145E-6    -7.364017999326585E-6    -2.0791338861901225E-6   -2.0380607655561393E-6   -1.3942737606014896E-7   -7.707783102993905E-9
0.49                      0.01                     0                        2.3157133634504123E-5    3.1688040625173415E-4    2.4049284769959485E-4    0.0021850512240114118    0.014703628649255444     0.021335683535495448     0.006200394614386869     1.5905929093529549E-6    3.2436758984117973E-6    9.158093105091978E-7     8.9771755731389E-7       6.141446987183879E-8     3.3950984344379855E-9
0.51                      0.01                     0                        2.1405934396868045E-5    2.932371196069102E-4     2.235369092934195E-4     0.0021311554690777975    0.014381294450370577     0.02087054416680701      0.006065662869782027     1.1296986748093324E-6    2.3037807502831323E-6    6.504421183178684E-7     6.375926340181356E-7     4.361886087611713E-8     2.411323301689526E-9
0.53                      0.01                     0                        1.965473515923198E-5     2.695938329620866E-4     2.0658097088724423E-4    0.002077259714144184     0.014058960251485713     0.020405404798118594     0.00593093112517719      6.688044402657107E-7     1.3638856021544707E-6    3.8507492612653997E-7    3.7746771072238205E-7    2.5823251880395527E-8    1.4275481689410715E-9
0.55                      0.01                     0                        1.7903535921595924E-5    2.459505463172628E-4     1.8962503248106906E-4    0.002023363959210571     0.013736626052600849     0.019940265429430164     0.0057961993805723516    2.0791020572209158E-7    4.2399045402581416E-7    1.1970773393521298E-7    1.1734278742662955E-7    8.027642884674002E-9     4.437730361926203E-10
0.5700000000000001        0.01                     0                        1.6152336683959853E-5    2.2230725967243897E-4    1.7266909407489379E-4    0.001969468204276957     0.013414291853715985     0.019475126060741733     0.005661467635967511     -2.5298402882153115E-7   -5.159046941028492E-7    -1.4565945825611633E-7   -1.4278213586912486E-7   -9.767966111047642E-9    -5.400020965558375E-10
0.59                      0.01                     0                        1.4401137446323792E-5    1.9866397302761531E-4    1.5571315566871853E-4    0.0019155724493433435    0.01309195765483112      0.019009986692053317     0.005526735891362672     -7.138782633651513E-7    -1.4557998422315087E-6   -4.1102665044744396E-7   -4.02907059164878E-7     -2.756357510676922E-8    -1.5237772293042904E-9
0.61                      0.01                     0                        1.2649938208687725E-5    1.750206863827915E-4     1.3875721726254334E-4    0.0018616766944097298    0.012769623455946254     0.018544847323364887     0.005392004146757834     -1.1747724979087717E-6   -2.3956949903601673E-6   -6.763938426387719E-7    -6.630319824606313E-7    -4.535918410249079E-8    -2.507552362052743E-9
0.63                      0.01                     0                        1.0898738971051647E-5    1.5137739973796762E-4    1.21801278856368E-4      0.001807780939476116     0.01244728925706139      0.018079707954676456     0.005257272402152992     -1.635666732452395E-6    -3.335590138488833E-6    -9.417610348301015E-7    -9.23156905756386E-7     -6.315479309821247E-8    -3.491327494801203E-9
0.65                      0.01                     0                        9.147539733415597E-6     1.2773411309314401E-4    1.0484534045019283E-4    0.001753885184542503     0.012124955058176526     0.017614568585988033     0.005122540657548155     -2.0965609669960134E-6   -4.275485286617488E-6    -1.2071282270214283E-6   -1.183281829052138E-6    -8.095040209393396E-8    -4.475102627549652E-9
0.67                      0.01                     0                        7.396340495779529E-6     1.040908264483203E-4     8.788940204401764E-5     0.0016999894296088898    0.011802620859291664     0.01714942921729961      0.004987808912943317     -2.557455201539635E-6    -5.21538043474615E-6     -1.4724954192127563E-6   -1.4434067523478918E-6   -9.874601108965557E-8    -5.458877760298107E-9
