% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.47000000000000003       0.03                     0                        7.60481006490485E-5      0.0010706344265641265    8.058230147217564E-4     0.005902836131164418     0.039384528287917234     0.057016629259235264     0.016560591222522195     -7.467370145373593E-8    -1.5288108796119618E-7   -4.281109374283521E-8    -4.2166419395818264E-8   -2.900587697751526E-9    -1.5931191063300996E-10
0.49                      0.03                     0                        6.973519840858906E-5     9.792275941596872E-4     7.406246516807682E-4     0.005774641958344932     0.038673400576571065     0.056008753676052854     0.016270080592841817     -6.695340781518752E-8    -1.3707516341395208E-7   -3.838498109209323E-8    -3.780695772344373E-8    -2.6007044950301944E-9   -1.4284112230645264E-10
0.51                      0.03                     0                        6.342229616812953E-5     8.87820761755247E-4      6.754262886397792E-4     0.005646447785525446     0.03796227286522488      0.055000878092870416     0.01597956996316143      -5.923311417663902E-8    -1.2126923886670776E-7   -3.395886844135119E-8    -3.3447496051069146E-8   -2.3008212923088593E-9   -1.2637033397989514E-10
0.53                      0.03                     0                        5.710939392767003E-5     7.964139293508071E-4     6.102279255987902E-4     0.00551825361270596      0.037251145153878715     0.05399300250968802      0.01568905933348105      -5.1512820538090526E-8   -1.0546331431946349E-7   -2.9532755790609166E-8   -2.9088034378694567E-8   -2.000938089587524E-9    -1.0989954565333766E-10
0.55                      0.03                     0                        5.079649168721057E-5     7.050070969463678E-4     5.450295625578018E-4     0.005390059439886475     0.036540017442532546     0.052985126926505595     0.015398548703800669     -4.379252689954209E-8    -8.965738977221933E-8    -2.5106643139867172E-8   -2.4728572706320024E-8   -1.7010548868661918E-9   -9.34287573267803E-11
0.5700000000000001        0.03                     0                        4.53701449006531E-5      6.255937102692593E-4     4.878240526228139E-4     0.005263531054025458     0.03581617815267969      0.05195500988045732      0.015101245438140174     -4.718689078310618E-8    -9.660674454308164E-8    -2.7052661987032355E-8   -2.664528726994798E-8    -1.8329038501649776E-9   -1.0067043123803416E-10
0.59                      0.03                     0                        4.20906012192969E-5      5.761551558863005E-4     4.505097370591064E-4     0.005134283988798673     0.035008218655446        0.05079545982853152      0.014765391402244872     -2.8978677374252432E-8   -5.9328674465092586E-8   -1.6613732136756563E-8   -1.636355289627476E-8    -1.1256331674002187E-9   -6.182428847416882E-11
0.61                      0.03                     0                        3.934408092737805E-5     5.359379487297937E-4     4.1970336913674136E-4    0.004996973650367889     0.03412345771851984      0.04952153156267643      0.014395952412035654     -7.176159352331539E-9    -1.469190662588308E-8    -4.1141556500520616E-9   -4.052202301624307E-9    -2.787471242117732E-10   -1.5309910117890417E-11
0.63                      0.03                     0                        3.576344523737218E-5     4.855605938057358E-4     3.825846778761453E-4     0.004855605456077204     0.033233497638176485     0.048241116360496605     0.014024927055012643     -1.3417562663899374E-8   -2.7470066943384852E-8   -7.69240739138187E-9     -7.576570647246893E-9    -5.211850549664912E-10   -2.8625573694753603E-11
0.65                      0.03                     0                        3.218280954736629E-5     4.351832388816775E-4     3.454659866155488E-4     0.0047142372617865165    0.032343537557833105     0.04696070115831673      0.013653901697989622     -1.965896597546724E-8    -4.024822726088667E-8    -1.127065913271169E-8    -1.1100938992869496E-8   -7.636229857212099E-10   -4.194123727161685E-11
0.67                      0.03                     0                        2.8602173857360452E-5    3.8480588395762015E-4    3.083472953549531E-4     0.004572869067495833     0.03145357747748975      0.04568028595613689      0.01328287634096661      -2.5900369287034977E-8   -5.3026387578388244E-8   -1.4848910874041444E-8   -1.4625307338492028E-8   -1.006060916475924E-9    -5.525690084847984E-11
0.01                      0.05                     0                        4.923919016566098E-4     0.01009990720994766      0.006293139866646536     0.017185019168327362     0.06733232498520991      0.09905477392613382      0.029334155911521477     -4.8574351063075544E-8   -9.944732205531424E-8    -2.7848105241536437E-8   -2.7428752277323706E-8   -1.8867976593755916E-9   -1.0363049540823289E-10
0.03                      0.05                     0                        4.885861597810131E-4     0.00998649780529843      0.006239293761169764     0.01703455558388573      0.06758108002797968      0.09933147079172856      0.029396772123094876     6.450021722003883E-8     1.3205269312171837E-7    3.697854521850762E-8     3.642170077917656E-8     2.5054139935283155E-9    1.3760738575326713E-10
0.05                      0.05                     0                        4.8082246503611503E-4    0.009762238529320734     0.00613181109628235      0.01673074717357711      0.0680783358735313       0.09986554919098659      0.02951408395062459      4.1313288737351544E-8    8.458159173125252E-8     2.3685273965632338E-8    2.3328607335729503E-8    1.6047526067722911E-9    8.813944983507175E-11
0.06999999999999999       0.05                     0                        4.6823862754470256E-4    0.009406775387968745     0.005961249820310668     0.016228474590276536     0.06889724866022011      0.10067718951877383      0.029680387505536497     6.730826815000787E-8     1.3780167667103514E-7    3.858842566178578E-8     3.80073387064896E-8      2.6144885113781395E-9    1.435981957720438E-10
0.09                      0.05                     0                        4.519186806007298E-4     0.008936659016515698     0.005735377295867547     0.015510335752358592     0.07007674528609983      0.10171222134844965      0.02986830352078882      -8.249751853353087E-8    -1.6889895829416048E-7   -4.729655729840047E-8    -4.658433823257485E-8    -3.2044921129514516E-9   -1.76003560077996E-10
0.11                      0.05                     0                        4.300819861473164E-4     0.00816707792125134      0.005358850398885443     0.014381532827526348     0.07196824885198949      0.10338594326293984      0.030158861197180344     -3.470474980047078E-8    -7.105178668830581E-8    -1.9896540121961003E-8   -1.9596926449671478E-8   -1.3480538444603112E-9   -7.404052418881344E-11
0.13                      0.05                     0                        4.0774196961095407E-4    0.007343017216238065     0.004931693214726672     0.01342073037143124      0.07354477925305838      0.1050397923499663       0.030483201857361752     -2.7828639112674898E-8   -5.697417619857895E-8    -1.5954405026063553E-8   -1.5714154316656187E-8   -1.0809616596466887E-9   -5.937075009069266E-11
