% Model,RI_new.mph
% Version,COMSOL 5.3.1.229
% Date,"May 4 2018, 15:14"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp18","Temperature (degC), Tp218","Temperature (degC), Tp228","Temperature (degC), Tp238","Temperature (degC), Tp248","Temperature (degC), Tp38"
10,2.3850733680225447E8,764.3401566925871,659.9368338418213,1169.131568659856,756.4542989271048,697.8049385712277,720.8469717180674,720.1068713024882,719.3871292400298,697.8061220142645,696.400570655261
11,2.409879311727502E8,765.1075590756378,659.9709812722226,1171.0264839340698,756.5006648465777,698.0085050016554,721.2934307781006,720.5455792568629,719.8182961764325,698.0110842866793,696.5947078065677
12,2.6806074873243487E8,768.9823008047675,660.0072321871777,1179.0596629884958,756.5498369278824,698.3597094617779,723.517137975873,722.7104367955592,721.925565828951,698.3810596723614,696.9093690695624
13,4.5612985803307223E8,815.2914241510806,660.3783168418817,1274.0852255136138,757.1734303773316,706.3646487943994,750.0513512066977,748.6535309146484,747.2941401955039,706.5330587701494,704.3418672453121
14,4.519999793781392E8,826.110596259315,661.4204575526737,1306.0291056231176,758.6859186805831,712.8527608263965,756.3783187678167,754.9842554926155,753.628553333799,712.9790958975206,710.6778028625254
15,4.474459720833908E8,832.4379222908718,662.8848524583627,1332.3286032623396,760.7772330322749,717.4270555303864,760.3360870163357,758.9609391386026,757.6236434196632,717.5264254082763,715.186068659792
16,4.413718485051155E8,837.4103243657997,664.4676729014601,1356.5187195106287,763.2155713526187,721.2220620416444,763.654348113945,762.2939372787306,760.970971685255,721.3033878103536,718.9409244587011
17,4.3510372221872705E8,841.1729380286173,666.1293748452091,1378.2173141419848,765.8675670433523,724.4643783110902,766.3863379661974,765.0418918195334,763.7344514100233,724.5323697695187,722.1632025971967
18,4.2909390381348735E8,843.7796062372382,667.8181538587395,1396.8164953654332,768.6588691342548,727.1988252632532,768.5492157583993,767.222801564922,765.9329003937511,727.2568189091908,724.8941038865574
19,4.2324896243398136E8,845.2288507943998,669.4260345845405,1410.951608115803,771.5158899056679,729.3137147021876,770.1344764355257,768.824877922331,767.5513291013832,729.3655396545332,727.0176182449402
