% Model:              ss.mph
% Version:            COMSOL 5.3.0.260
% Date:               Dec 13 2017, 15:34
% Dimension:          2
% Nodes:              1330
% Expressions:        14
% Description:        , , , , , , , , , , , , , 
% Length unit:        m
% cpl1x                   cpl1y                    PdensityN (W/m^3)        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.125                     0.62                     0                        0.01611043452845386      0.07122091990931076      0.04545888392940423      0.198898804736618        1.1057288786452544       1.5785998437207498       0.4573021770507723       -7.154381675550167E-7    -1.710167468155735E-6    -4.3477919905153876E-7   -4.1094814916918913E-7   -3.0884306082804676E-8   -1.6497757264352985E-9
0.17500000000000002       0.62                     0                        0.02686245240871415      0.1092521487424804       0.06728839599403846      0.20913096595958763      1.0842104294131896       1.558397806975672        0.454320396345156        -6.785149548563636E-6    -1.622129375110512E-5    -4.123865373531971E-6    -3.89795069323048E-6     -2.9296869435577235E-7   -1.5658483309456875E-8
0.225                     0.62                     0                        0.04617159047113409      0.16467084256335623      0.09739800032520352      0.2230899854242938       1.050398823596089        1.5276021592268456       0.4492210681930231       -3.897108297476368E-6    -9.310698393583046E-6    -2.3673052373536083E-6   -2.237282681203764E-6    -1.6808986918945297E-7   -8.958948641139245E-9
0.275                     0.62                     0                        0.08264099500221878      0.2487648944464681       0.13848755521392406      0.23558668256282483      1.0171752889266559       1.4715536782503795       0.43257325326183144      3.165476255842126E-4     7.565967716455864E-4     1.923543920838271E-4     1.81807180387509E-4      1.3662753967911729E-5    7.295282421630264E-7
0.32500000000000007       0.62                     0                        0.15577398769191922      0.37468809656387786      0.19111833826862987      0.24009247187528096      0.9716542224833853       1.3693725602808626       0.3981145859713975       -0.0010529468661533798   -0.002516694489032643    -6.398355661400169E-4    -6.047515452621744E-4    -4.5446810541869054E-5   -2.4266179202793764E-6
0.37500000000000006       0.62                     0                        0.27867121293351627      0.5280371282198149       0.23355798404425707      0.24344875261675863      0.8721935517138196       1.1940486249979525       0.3418975949325815       0.0018250704088829753    0.004363130250353321     0.0011092221981049968    0.0010484523655751733    7.880056197897008E-5     4.211406255964642E-6
0.42500000000000004       0.62                     0                        0.4768502832114105       0.7450287953963748       0.2774261901587907       0.2469741870162475       0.6975136804528891       0.9091477678068813       0.25252419387789266      0.008919080808232584     0.02132074031607286      0.005420375718636902     0.005123317290443267     3.8504457773057374E-4    2.0570981954321598E-5
0.47500000000000003       0.62                     0                        0.6640794286940539       0.9208937493675795       0.2981328093485703       0.2517778706742867       0.5299143884028082       0.6514672668718077       0.17304045852923255      0.018416034174340352     0.04402266929715683      0.011191900456318543     0.010578528550070068     7.950307376148434E-4     4.247367145275052E-5
0.525                     0.62                     0                        0.7473817063739305       0.9809391731399775       0.292316815065146        0.25123505253427597      0.4437793980530233       0.5301051176805365       0.13725188044961603      0.021540080472045885     0.05149058289678744      0.013090469790162904     0.012373048297431001     9.298983893265045E-4     4.967894196467884E-5
0.5750000000000001        0.62                     0                        0.8361939749102174       1.0454573341427553       0.2871683112970679       0.2517903995085135       0.35611191789868346      0.40652211323341814      0.10070335514925063      0.025169757060461376     0.06016718821665245      0.015296325003984479     0.014458013463556076     0.0010865945688645557    5.805040340570308E-5
