% Model,scaling.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 15 2018, 08:45"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp1","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp3"
32,2.799742942721905E8,641.0661902576691,619.7017027034804,880.1413665633041,737.7936896778517,638.8740945081005,646.2589836751799,645.1362889373564,644.0441815042324,638.8763572541703,633.2072356669278
33,2.804258276119347E8,641.1702894867934,619.7687969073899,880.8006881552075,738.1729834723004,638.9754716237021,646.3700132635141,645.2458433685116,644.1523010955971,638.9776878127501,633.3004197566532
34,2.8087736095171225E8,641.2743887159153,619.8358911113211,881.4600097471106,738.5522772667491,639.0768487393301,646.4810428517881,645.3553977996588,644.2604206869555,639.0790183714009,633.3936038463763
35,2.8132889429145956E8,641.3784879450429,619.9029853152647,882.1193313390137,738.931571061198,639.1782258549293,646.592072440146,645.4649522307727,644.3685402783374,639.1803489300019,633.4867879361138
36,2.817804276312112E8,641.4825871741645,619.9700795191942,882.778652930917,739.3108648556467,639.2796029705175,646.703102028473,645.5745066618928,644.4766598697021,639.281679488577,633.5799720258127
37,2.822319609709749E8,641.5866864032853,620.0371737231111,883.4379745228204,739.6901586500954,639.3809800861208,646.814131616814,645.6840610930648,644.5847794611125,639.3830100472134,633.6731561155456
38,2.8258439218245876E8,641.6789046505833,620.0989573036018,884.0743501405349,740.1117318009353,639.4707179611213,646.9125749176275,645.7811754189078,644.6806010597387,639.4727146817899,633.7556438643182
39,2.8290312977145755E8,641.7670834960543,620.1589353311787,884.7029243819821,740.5476794631759,639.5564986236046,647.006739020549,645.8740602472107,644.772241477533,639.5584666313512,633.8344949759796
40,2.832218673604768E8,641.8552623415188,620.2189133587432,885.331498623429,740.9836271254162,639.6422792861371,647.1009031234763,645.966945075537,644.8638818952876,639.6442185809135,633.9133460876737
41,2.8354060494947803E8,641.9434411869556,620.2788913862579,885.9600728648758,741.4195747876568,639.7280599486435,647.1950672264364,646.059829903826,644.9555223130834,639.7299705304952,633.9921971993266
42,2.8385934253848064E8,642.0316200324421,620.3388694138279,886.5886471063228,741.8555224498973,639.8138406111082,647.2892313293456,646.1527147321301,645.0471627308374,639.8157224800599,634.071048311007
43,2.8417808012749493E8,642.1197988778664,620.3988474413734,887.2172213477696,742.2914701121379,639.8996212736504,647.383395432263,646.245599560442,645.1388031486276,639.9014744296538,634.149899422698
44,2.84496817716503E8,642.2079777233395,620.4588254689421,887.8457955892164,742.7274177743782,639.9854019361092,647.47755953521,646.3384843887458,645.2304435663943,639.9872263792089,634.2287505343768
45,2.848155553055104E8,642.2961565687882,620.5188034964771,888.4743698306637,743.1633654366187,640.0711825986357,647.571723638125,646.4313692170382,645.3220839841881,640.0729783287845,634.3076016460614
46,2.8513429289453083E8,642.3843354142508,620.5787815239942,889.1029440721105,743.5993130988593,640.1569632611546,647.6658877410614,646.5242540453569,645.4137244019686,640.1587302783374,634.3864527577447
47,2.8545303048352486E8,642.4725142597135,620.6387595515647,889.7315183135576,744.0352607610997,640.2427439236299,647.760051843972,646.6171388736383,645.5053648197306,640.2444822279119,634.4653038693916
48,2.8575053040981495E8,642.5452230838093,620.6914636692823,890.3416792571508,744.5044222885626,640.3139268785804,647.8367898328169,646.6930257588646,645.5804238666776,640.3156243250962,634.5315478408579
49,2.860408097667452E8,642.6126722725411,620.7416947384678,890.9455798840664,744.9848761611569,640.3801467751349,647.907603136426,646.7631335323142,645.6498454318147,640.3817992348718,634.5935055246968
50,2.863310891236662E8,642.6801214612626,620.7919258076081,891.5494805109823,745.4653300337512,640.4463666717427,647.9784164400685,646.8332413057598,645.7192669969414,640.447974144577,634.6554632085142
51,2.8662136848061293E8,642.7475706500062,620.8421568767819,892.1533811378985,745.9457839063455,640.5125865683476,648.0492297437095,646.9033490792026,645.7886885620611,640.5141490542987,634.7174208923651
52,2.869116478375517E8,642.8150198387281,620.8923879459536,892.7572817648141,746.4262377789397,640.5788064649042,648.120043047356,646.9734568526494,645.8581101271837,640.5803239640336,634.7793785762005
53,2.872019271944906E8,642.8824690274514,620.9426190151181,893.36118239173,746.9066916515342,640.6450263615037,648.1908563510002,647.0435646260956,645.9275316922923,640.6464988737403,634.8413362600469
54,2.874922065514076E8,642.949918216175,620.9928500842842,893.9650830186459,747.3871455241284,640.7112462580898,648.2616696546236,647.113672399547,645.9969532574273,640.71267378346,634.9032939438501
55,2.8778248590835994E8,643.017367404901,621.0430811534746,894.5689836455618,747.8675993967225,640.7774661546769,648.3324829582542,647.1837801729868,646.0663748225285,640.7788486931796,634.9652516277149
56,2.8807276526530683E8,643.0848165936228,621.0933122226544,895.1728842724777,748.348053269317,640.8436860512613,648.4032962618948,647.2538879464369,646.1357963876468,640.8450236029219,635.0272093115428
57,2.883630446222402E8,643.1522657823202,621.1435432917938,895.7767848993934,748.8285071419112,640.9099059478413,648.4741095655055,647.3239957198767,646.2052179528209,640.911198512661,635.0891669953965
58,2.885982898877561E8,643.2136121422955,621.1852877614981,896.40106356121,749.3216672179425,640.9692816361229,648.5403285205165,647.3891712007959,646.2693783376575,640.9705552525851,635.1429579060498
59,2.888148241736939E8,643.2728836082871,621.224146881649,897.0322705284697,749.8191472619618,641.0263303696017,648.6049854480727,647.4526697570891,646.3317499797638,641.0275938905469,635.1939722046178
60,2.8903135845962477E8,643.3321550742754,621.2630060018372,897.6634774957291,750.3166273059812,641.0833791031035,648.6696423755884,647.5161683133764,646.3941216218673,641.0846325285403,635.2449865031366
61,2.8924789274555504E8,643.3914265402534,621.3018651220286,898.2946844629884,750.8141073500005,641.140427836622,648.7342993030966,647.5796668696482,646.4564932639335,641.1416711664998,635.296000801663
62,2.8946442703149253E8,643.4506980062396,621.3407242421824,898.9258914302478,751.3115873940197,641.1974765700965,648.7989562306134,647.6431654259294,646.5188649060348,641.1987098044697,635.347015100213
63,2.8968096131744355E8,643.5099694722286,621.37958336236,899.5570983975073,751.809067438039,641.2545253035792,648.8636131581557,647.7066639822142,646.5812365481128,641.2557484424243,635.3980293987628
64,2.898974956033706E8,643.5692409382042,621.4184424825412,900.188305364767,752.3065474820584,641.3115740371059,648.9282700856655,647.7701625384886,646.6436081901694,641.3127870804066,635.4490436972885
65,2.9011402988929725E8,643.628512404169,621.4573016026978,900.8195123320262,752.8040275260779,641.3686227705825,648.9929270131934,647.8336610947911,646.7059798322574,641.3698257183584,635.5000579958628
66,2.9033056417523825E8,643.6877838701824,621.4961607228817,901.4507192992857,753.3015075700972,641.4256715040876,649.0575839407345,647.8971596510517,646.7683514743603,641.426864356364,635.5510722943902
67,2.905470984611747E8,643.7470553361463,621.5350198430385,902.0819262665451,753.7989876141165,641.4827202375635,649.1222408682477,647.9606582073429,646.8307231164733,641.4839029943029,635.6020865929407
68,2.9078538938878345E8,643.7929330225465,621.5671314411952,902.6950572666173,754.2840693645895,641.5274896906195,649.1710964629099,648.0088869565407,646.878342190497,641.5286375296216,635.6431453051014
69,2.91031077332845E8,643.8342569726881,621.5969489567942,903.3020426386908,754.7649358330158,641.568084324707,649.2145797799423,648.0519241409991,646.920945555319,641.5691888067089,635.6808192284983
70,2.912767652768741E8,643.8755809228504,621.6267664724329,903.909028010764,755.2458023014423,641.6086789588229,649.258063097004,648.0949613254569,646.963548920107,641.6097400838049,635.7184931519046
71,2.915224532209203E8,643.9169048729849,621.6565839880506,904.5160133828373,755.7266687698685,641.6492735928937,649.3015464140548,648.1379985099092,647.006152284949,641.6502913609014,635.7561670753256
72,2.917681411649708E8,643.9582288231426,621.6864015036726,905.1229987549106,756.207535238295,641.6898682270312,649.3450297311135,648.1810356943339,647.0487556497709,641.690842637994,635.7938409987461
73,2.920138291090216E8,643.9995527733124,621.7162190192942,905.7299841269838,756.6884017067213,641.7304628611183,649.3885130481453,648.2240728787951,647.0913590146296,641.7313939150877,635.8315149221497
74,2.922595170530591E8,644.0408767234735,621.746036534908,906.3369694990571,757.1692681751477,641.771057495237,649.4319963651701,648.2671100632731,647.1339623794563,641.7719451922045,635.8691888455613
75,2.925052049971239E8,644.0822006736162,621.775854050546,906.9439548711308,757.6501346435742,641.8116521293327,649.4754796822309,648.3101472477043,647.1765657442425,641.8124964693103,635.9068627689625
76,2.927508929411626E8,644.1235246237901,621.8056715661693,907.5509402432041,758.1310011120005,641.8522467634183,649.5189629992769,648.3531844321551,647.2191691090661,641.8530477463835,635.9445366923737
77,2.9299658088520974E8,644.1648485739389,621.8354890817878,908.1579256152773,758.611867580427,641.8928413975518,649.5624463163281,648.3962216165876,647.261772473864,641.8935990235096,635.9822106157984
78,2.931759999663302E8,644.2071864656807,621.8593257575129,908.7728204179526,759.0449368856724,641.9331266089077,649.609673166283,648.4423928903825,647.3069168288177,641.9338835534253,636.0171257462836
79,2.9333288837034535E8,644.2498690863282,621.8811290141208,909.39040433915,759.4617556865179,641.9733066200039,649.6581727758038,648.4896297197511,647.3529250921456,641.9740773922617,636.0511029178485
80,2.9348977677439374E8,644.2925517069176,621.9029322707618,910.0079882603478,759.8785744873634,642.0134866311008,649.7066723853384,648.5368665490892,647.398933355475,642.0142712310615,636.0850800894367
81,2.936466651784385E8,644.3352343275218,621.9247355273969,910.6255721815452,760.2953932882089,642.0536666421825,649.7551719948996,648.5841033784535,647.4449416187808,642.0544650699106,636.1190572609992
