% Model:              ss.mph
% Version:            COMSOL 5.3.1.180
% Date:               Mar 30 2018, 09:35
% Dimension:          2
% Nodes:              1330
% Expressions:        19
% Description:        , , , , , , , , , , , , , , , , , , 
% Length unit:        m
% cpl1x                   cpl1y                    PdensityN (W/m^3)        Tp221 (K)                Tp231 (K)                Tp241 (K)                Tp31 (K)                 Flux1 (1/(m^2*s))        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.525                     0.48                     2054743.5370459827       880.9991943996646        880.9094033938507        878.217086791714         878.0413217736964        0.036425185697662246     0.14951595499243478      0.21736824512351388      0.07346970658006324      0.06773563444806806      0.1461805817313606       0.17484183246590637      0.04568238178424828      0.006858873482197006     0.012639930578001371     0.003582078631793597     0.00352335207150267      2.410848777893898E-4     1.4115689161710783E-5
0.5750000000000001        0.48                     1284338.8363441457       877.7831413285508        877.727016502235         876.0441552811984        875.9342914811529        0.04978526679480678      0.19712998641605778      0.2488882758167505       0.06872047413455448      0.06642372751532413      0.09674094991795783      0.10092665006023394      0.02333630757301752      0.01074078056736192      0.019795915101000768     0.005610040783977289     0.005518067910337503     3.775724634701712E-4     2.210843340220264E-5
0.6250000000000001        0.48                     1562560.4739511586       879.2194934541386        879.1512105284703        877.1037977308071        876.9701345698754        0.030407963018622537     0.12736413538579627      0.18790859135238         0.06003257054885929      0.05974524633023833      0.11008644791346905      0.13101138800589496      0.034286969781497076     0.005987822463082281     0.011035851490781333     0.003127492542124844     0.003076219350698776     2.104895840723876E-4     1.2324995132727492E-5
0.675                     0.48                     1624669.336740438        879.5007309728762        879.4297339259897        877.3009402199671        877.161964193226         0.026436911353907994     0.11307109081969575      0.17550445126577174      0.05834664683593708      0.05842867508938048      0.11317551688952003      0.13764471604806647      0.036661341049401934     0.005008460323101952     0.00923080076916732      0.002615952249661365     0.0025730654053009124    1.7606140376930557E-4    1.0309066587756372E-5
0.7250000000000001        0.48                     1624669.3367404393       879.4313092261885        879.3603121802809        877.2315185036035        877.0925424787782        0.02643691135390801      0.11307109081969584      0.17550445126577188      0.05834664683593712      0.05842867508938052      0.11317551688952011      0.13764471604806655      0.03666134104940196      0.005008460323101955     0.009230800769167326     0.0026159522496613666    0.0025730654053009146    1.760614037693057E-4     1.0309066587756379E-5
0.775                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.026436911353908004     0.11307109081969581      0.17550445126577183      0.058346646835937106     0.05842867508938051      0.11317551688952009      0.13764471604806652      0.03666134104940195      0.005008460323101955     0.009230800769167324     0.0026159522496613666    0.002573065405300914     1.7606140376930568E-4    1.0309066587756379E-5
0.8250000000000001        0.48                     0                        NaN                      NaN                      NaN                      NaN                      0.026436911353908008     0.11307109081969584      0.17550445126577185      0.05834664683593711      0.05842867508938051      0.11317551688952009      0.13764471604806652      0.036661341049401955     0.005008460323101956     0.009230800769167326     0.0026159522496613666    0.0025730654053009146    1.760614037693057E-4     1.0309066587756379E-5
0.8750000000000001        0.48                     0                        NaN                      NaN                      NaN                      NaN                      9.358284165948014E-4     0.01182334784312648      0.043887453998252654     0.02415044216493553      0.030429861184303256     0.14893685677351562      0.20938502802644676      0.0607229257854274       -5.44827169224051E-4     -0.0010041392535692858   -2.8456689900077593E-4   -2.799016077251906E-4    -1.9152203038425637E-5   -1.1214346066495135E-6
0.925                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      6.795682065758079E-4     0.01080590995851175      0.042564835682600936     0.023806804735404207     0.030148501292676873     0.14929622223622008      0.21010594593646645      0.06096472048775438      -6.006321176875159E-4    -0.0011069900966572312   -3.137141963146752E-4    -3.0857105394959305E-4   -2.1113903253357176E-5   -1.2362996358681285E-6
0.9750000000000001        0.48                     0                        NaN                      NaN                      NaN                      NaN                      6.795682065758078E-4     0.010805909958511748     0.04256483568260093      0.023806804735404204     0.03014850129267687      0.14929622223622008      0.21010594593646642      0.06096472048775437      -6.006321176875159E-4    -0.001106990096657231    -3.1371419631467517E-4   -3.08571053949593E-4     -2.1113903253357173E-5   -1.2362996358681283E-6
1.025                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      6.795682065758075E-4     0.010805909958511745     0.04256483568260092      0.0238068047354042       0.030148501292676863     0.14929622223622002      0.21010594593646634      0.06096472048775436      -6.006321176875157E-4    -0.0011069900966572308   -3.1371419631467506E-4   -3.0857105394959295E-4   -2.1113903253357166E-5   -1.236299635868128E-6
1.075                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      6.795682065758074E-4     0.010805909958511745     0.042564835682600916     0.023806804735404197     0.030148501292676856     0.14929622223622         0.2101059459364663       0.060964720487754344     -6.006321176875156E-4    -0.0011069900966572306   -3.1371419631467506E-4   -3.085710539495929E-4    -2.1113903253357163E-5   -1.2362996358681279E-6
1.125                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      5.103562731620114E-4     0.00810822759305088      0.03246864616108013      0.01852060217383895      0.025660611656439236     0.1392943824410969       0.19731517596110593      0.057210836407348004     -3.567556650738705E-4    -6.575154914022941E-4    -1.8633585319188212E-4   -1.832809965712279E-4    -1.2540960014087287E-5   -7.343210260276729E-7
1.175                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      2.7324182285364623E-5    -5.39289533253239E-4     -0.0015594081778844732   -3.4464748494128115E-5   0.009357181099879897     0.09134049116178386      0.134119212533662        0.03891271531644916      2.2145400669910646E-4    4.081490963100889E-4     1.156669476261347E-4     1.1377066282801444E-4    7.78473119657692E-6      4.558257995190373E-7
1.225                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      3.98293472872859E-5      -1.0642395370532598E-4   -0.00109421971939164     -7.434744021197075E-4    0.0068742473144330464    0.06289224049056287      0.09313528363955409      0.027229655970581683     -5.885565491835561E-5    -1.0847354072805854E-4   -3.074073528238873E-5    -3.023676057710357E-5    -2.0689438398398803E-6   -1.2114462569176387E-7
1.275                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      -1.3373409311078089E-8   5.0984960606341906E-5    -5.157845996369284E-5    -2.5017244593838073E-4   0.005900977064557949     0.051837438053819046     0.07648064203773217      0.022353333779308173     2.0920500901027873E-6    3.855887467900162E-6     1.0927344220097954E-6    1.0748205629785205E-6    7.354337859123263E-8     4.306325028640434E-9
1.325                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      7.101919518154279E-6     4.954931479361886E-5     -1.3788502597227834E-4   -2.916873458013502E-4    0.005612601613781113     0.0501072468675399       0.07387688015466978      0.02157507766802423      4.2550978653530194E-5    7.842343692823253E-5     2.222471994198867E-5     2.186036097497846E-5     1.49578906955182E-6      8.758429034660049E-8
1.375                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      7.101919518154278E-6     4.954931479361885E-5     -1.378850259722783E-4    -2.916873458013501E-4    0.005612601613781112     0.050107246867539895     0.07387688015466977      0.021575077668024228     4.255097865353019E-5     7.84234369282325E-5      2.2224719941988667E-5    2.1860360974978455E-5    1.4957890695518195E-6    8.758429034660047E-8
1.425                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      3.866960472514727E-6     2.9855674935906922E-5    -5.626590278070049E-5    -1.2919640675650962E-4   0.004269072967623108     0.038489009973094006     0.05669822678894273      0.01655259293485151      4.7850118855916175E-5    8.818986058695118E-5     2.4992463691658398E-5    2.458272923606101E-5     1.6820669338712722E-6    9.849159822276146E-8
1.475                     0.48                     0                        NaN                      NaN                      NaN                      NaN                      1.4028829199393577E-7    1.2284993508262146E-5    4.194139855308857E-5     4.147496107820777E-5     0.00261984685989807      0.02382990524492977      0.03508042256331026      0.010245384038139519     2.3055487733978803E-5    4.249217941835734E-5     1.2042020230619325E-5    1.1844600632502963E-5    8.104636768985424E-7     4.745610497815244E-8
