% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Flux21 (1/(m^2*s))       Flux22 (1/(m^2*s))       Flux23 (1/(m^2*s))       Flux24 (1/(m^2*s))       Flux25 (1/(m^2*s))       Flux26 (1/(m^2*s))       Flux27 (1/(m^2*s))       Flux28 (1/(m^2*s))       Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.41000000000000003       0.01                     0                        6.402550624734224E-5     5.585303350745454E-4     4.0916614045860653E-4    0.002585079864076098     0.01719010561804741      0.024838391239206076     0.0072098840833306945    8.485936556393913E-7     -3.362487080116894E-7    6.851230536917562E-6     4.259592664381646E-6     5.808229950077441E-6     -7.823150694102656E-6    -4.434669361511875E-6    -4.7032451856956335E-7   -1.1761168386986417E-7   -2.4078895028543563E-7   -6.742781896950609E-8    -6.641245165779808E-8    -4.568449088547253E-9    -2.509175480163131E-10
0.43                      0.01                     0                        5.8632650687138614E-5    5.054151508029234E-4     3.7244122870113875E-4    0.002541630607610363     0.016982878983849762     0.024555052181077567     0.00712929019729656      7.35968471581713E-7      -2.812525244421246E-7    6.197023615454019E-6     3.884089997783867E-6     5.286203972700663E-6     -6.888298387460132E-6    -3.720465639706638E-6    -3.492945764386812E-7    -1.0935154971800534E-7   -2.2387779855119372E-7   -6.2692210976072E-8      -6.174815520359338E-8    -4.247596592471335E-9    -2.3329504199077614E-10
0.45                      0.01                     0                        5.500752059042564E-5     4.941634610892292E-4     3.6137966493601234E-4    0.002503967630069262     0.016680938242574        0.024135351036581033     0.007008866418917965     8.352249771579181E-7     4.4827021891902077E-7    5.400130257504302E-6     3.4426581055260384E-6    2.6564173094093267E-6    -2.5175088564477763E-6   -2.4875769901141736E-6   -4.963412146484293E-7    -5.288884983323593E-8    -1.0828048892863476E-7   -3.0321645560374414E-8   -2.986504458751595E-8    -2.0543878793735203E-9   -1.1283522249577225E-10
0.47000000000000003       0.01                     0                        5.087293233780632E-5     4.54597870513107E-4      3.33797967857364E-4      0.00245070097260379      0.016385080976430884     0.023716559196104218     0.006888199395564704     7.551133336264187E-7     4.0340533642282647E-7    4.9718575393642005E-6    3.1847418914987976E-6    2.487815947585717E-6     -2.193472751753459E-6    -2.094298434316174E-6    -4.040261750410478E-7    -4.966665355702941E-8    -1.0168361663302254E-7   -2.8474331925815174E-8   -2.804554887599902E-8    -1.929226508013137E-9    -1.0596085795774184E-10
0.49                      0.01                     0                        4.673834408518702E-5     4.1503227993698464E-4    3.062162707787155E-4     0.002397434315138315     0.016089223710287766     0.02329776735562739      0.006767532372211435     6.750016900949195E-7     3.585404539266324E-7     4.543584821224097E-6     2.9268256774715567E-6    2.319214585762107E-6     -1.8694366470591425E-6   -1.7010198785181769E-6   -3.1171113543366675E-7   -4.644445728082288E-8    -9.508674433741031E-8    -2.662701829125594E-8    -2.6226053164482085E-8   -1.8040651366527537E-9   -9.908649341971144E-11
0.51                      0.01                     0                        4.260375583256766E-5     3.7546668936086204E-4    2.786345737000668E-4     0.0023441676576728414    0.015793366444144637     0.022878975515150553     0.006646865348858166     5.948900465634194E-7     3.1367557143043807E-7    4.11531210308399E-6      2.668909463444314E-6     2.150613223938495E-6     -1.5454005423648236E-6   -1.3077413227201762E-6   -2.1939609582628508E-7   -4.3222261004616305E-8   -8.848987204179804E-8    -2.4779704656696686E-8   -2.4406557452965135E-8   -1.6789037652923692E-9   -9.221212888168096E-11
0.53                      0.01                     0                        3.846916757994833E-5     3.3590109878473955E-4    2.510528766214184E-4     0.0022909010002073677    0.015497509178001518     0.022460183674673725     0.006526198325504901     5.147784030319196E-7     2.6881068893424356E-7    3.6870393849438862E-6    2.4109932494170725E-6    1.9820118621148846E-6    -1.221364437670505E-6    -9.144627669221755E-7    -1.270810562189032E-7    -4.000006472840977E-8    -8.189299974618579E-8    -2.2932391022137443E-8   -2.2587061741448195E-8   -1.5537423939319854E-9   -8.533776434365053E-11
0.55                      0.01                     0                        3.4334579327329016E-5    2.9633550820861706E-4    2.2347117954276985E-4    0.0022376343427418935    0.015201651911858396     0.022041391834196896     0.006405531302151634     4.3466675950041993E-7    2.2394580643804925E-7    3.2587666668037818E-6    2.153077035389831E-6     1.813410500291274E-6     -8.973283329761874E-7    -5.211842111241763E-7    -3.476601661152183E-8    -3.677786845220323E-8    -7.529612745057354E-8    -2.1085077387578204E-8   -2.0767566029931254E-8   -1.4285810225716018E-9   -7.84633998056201E-11
0.5700000000000001        0.01                     0                        3.0199991074709672E-5    2.567699176324946E-4     1.9588948246412131E-4    0.0021843676852764202    0.014905794645715278     0.021622599993720067     0.006284864278798369     3.5455511596892023E-7    1.7908092394185474E-7    2.8304939486636765E-6    1.8951608213625891E-6    1.6448091384676626E-6    -5.732922282818677E-7    -1.2790565532617497E-7   5.7549022995860165E-8    -3.3555672175996665E-8   -6.869925515496126E-8    -1.9237763753018948E-8   -1.89480703184143E-8     -1.3034196512112173E-9   -7.158903526758962E-11
0.59                      0.01                     0                        2.9343581502023607E-5    2.5825366648310987E-4    1.9495761033820697E-4    0.0021385999916674796    0.01456375378813712      0.0211294237486495       0.006141769586995387     4.028157925966839E-7     4.49878677805162E-7      2.6161294899040446E-6    1.7652145300622267E-6    8.693293812614538E-7     6.018833101942174E-7     2.426070486467277E-7     7.837602717037675E-9     -8.11878087309679E-9     -1.6621756102000336E-8   -4.654568908051565E-9    -4.5844777024993626E-9   -3.1536184041760483E-10  -1.7320937193733786E-11
